category,method,path,controller,action,status,new_backend_equiv_or_note
3-GAMEPLAY,POST,/addGameType,GameController,addGameTypePostData,MANGLER,Game admin CRUD missing
3-GAMEPLAY,GET,/editGameType/:id,GameController,editGameType,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/editGameType/:id,GameController,editGameTypePostData,MANGLER,Game admin CRUD missing
3-GAMEPLAY,POST,/gameType/deleteGameType,GameController,deleteGameType,TODO,Review game action
3-GAMEPLAY,GET,/viewGameType/:id,GameController,viewGameType,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/subGame,subGameController,subGame1,NOT-NEEDED,HTML index page
3-GAMEPLAY,GET,/subGames/getSubGameList,subGameController,subGame1List,MANGLER,Subgame admin missing (if subgames are still used)
3-GAMEPLAY,GET,/addSubGame,subGameController,addSubGame,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/addSubGameData,subGameController,addSubGamePostData,MANGLER,Subgame admin missing
3-GAMEPLAY,GET,/subGameEdit/:id,subGameController,editSubGame,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/subGameEdit/:id,subGameController,editSubGamePostData,MANGLER,Subgame admin missing
3-GAMEPLAY,POST,/subGames/getSubGameDelete,subGameController,getSubGameDelete,MANGLER,Subgame admin missing
3-GAMEPLAY,GET,/viewSubGame/:id,subGameController,viewSubGame,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/checkForGameName,subGameController,checkForGameName,MANGLER,Subgame admin missing
3-GAMEPLAY,GET,/background,OtherController,background,TODO,
3-GAMEPLAY,GET,/otherModules/getBackground,OtherController,getBackground,NOT-NEEDED,Background/theme content — post-pilot
3-GAMEPLAY,GET,/addBackground,OtherController,addBackground,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/addBackground,OtherController,addBackgroundPostData,NOT-NEEDED,Background/theme content mgmt — post-pilot
3-GAMEPLAY,GET,/editBackground/:id,OtherController,editBackground,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/editBackground/:id,OtherController,editBackgroundPostData,NOT-NEEDED,Background/theme content mgmt — post-pilot
3-GAMEPLAY,POST,/background/deleteBackground,OtherController,deleteBackground,NOT-NEEDED,Background/theme content mgmt — post-pilot
3-GAMEPLAY,GET,/viewBackground/:id,OtherController,viewBackground,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/theme,OtherController,theme,TODO,
3-GAMEPLAY,POST,/themeEdit,OtherController,themeEdit,NOT-NEEDED,Background/theme content mgmt — post-pilot
3-GAMEPLAY,GET,/miniGames,OtherController,miniGames,TODO,
3-GAMEPLAY,GET,/gameManagement,GameController,viweGameManagement,TODO,
3-GAMEPLAY,GET,/gameManagementDetailList/:id,GameController,viweGameManagementDetail,TODO,
3-GAMEPLAY,GET,/getGameManagementDetailList,GameController,getGameManagementDetailList,TODO,
3-GAMEPLAY,GET,/addGameManagement/:id,GameController,addGameManagement,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/addGameManagement/:typeId/:type/:slug,GameController,addGameManagementPostData,MANGLER,Game admin CRUD missing
3-GAMEPLAY,POST,/patternGame,GameController,patternGame,MANGLER,Pattern-game binding missing
3-GAMEPLAY,GET,/gameManagementEdit/:typeId/:id,GameController,editGameManagement,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/gameManagementEdit/:typeId/:id,GameController,editGameManagementPostData,MANGLER,Game admin CRUD missing
3-GAMEPLAY,POST,/getGameManagementDelete,GameController,getGameManagementDelete,MANGLER,Game/ticket admin delete missing
6-ADMIN-OPS,GET,/gameHistory/game1/:gameId/:grpId/:hallname,ReportsController,game1History,TODO,
6-ADMIN-OPS,GET,/gameHistory/game2/:gameId/:grpId/:hallname,ReportsController,game2History,TODO,
6-ADMIN-OPS,GET,/gameHistory/game3/:gameId/:grpId/:hallname,ReportsController,game3History,TODO,
3-GAMEPLAY,GET,/viewGameDetails/:typeId/:id,GameController,viewGameDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/viewGameTickets/:typeId/:id,GameController,viewGameTickets,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/getTicketTable/:typeId/:id,GameController,getTicketTable,TODO,
3-GAMEPLAY,GET,/viewGameManagement/:typeId/:id,GameController,viewGameManagementDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/viewsubGamesManagement/:typeId/:id,GameController,viewsubGamesManagement,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/viewsubGamesManagementDetails,GameController,viewsubGamesManagementDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/getGroupHallData,GameController,getGroupHallData,TODO,
3-GAMEPLAY,POST,/repeatGame/:typeId,GameController,repeatGame,EXISTS,Covered by /api/admin/rooms/:code/start|end + sockets
3-GAMEPLAY,POST,/stopGame/:typeId,GameController,stopGame,EXISTS,Covered by /api/admin/rooms/:code/start|end + sockets
3-GAMEPLAY,POST,/startGame,GameController,startGame,EXISTS,Covered by /api/admin/rooms/:code/start|end + sockets
3-GAMEPLAY,GET,/viewGameHistory/:id/:gameName,GameController,viewGameHistory,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/viewPhysicalGameHistory/:id/:gameName,GameController,viewPhysicalGameHistory,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/viewTicket/:id/:ticketId,GameController,viewTicket,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/editTicket/:id/:gameId,GameController,editTicket,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/closeDayGameManagement/:typeId/:id/:gameType,GameController,closeDayGameManagement,TODO,
3-GAMEPLAY,POST,/closeDayAdd,GameController,closeDayAdd,MANGLER,Close-day schedule admin missing
3-GAMEPLAY,GET,/getCloseDayData,GameController,getCloseDayData,TODO,
3-GAMEPLAY,POST,/deleteCloseDay,GameController,deleteCloseDay,MANGLER,Close-day schedule admin missing
3-GAMEPLAY,POST,/updateCloseDay,GameController,updateCloseDay,MANGLER,Close-day schedule admin missing
3-GAMEPLAY,POST,/game/auto-stop,GameController,autoStopOnOff,MANGLER,Auto-stop toggle not explicit
3-GAMEPLAY,GET,/savedGameList,GameController,savedGameList,TODO,
3-GAMEPLAY,GET,/savedGameDetailList/:id,GameController,savedGameDetailList,TODO,
3-GAMEPLAY,GET,/getSavedGameDetailList,GameController,getSavedGameDetailList,TODO,
3-GAMEPLAY,POST,/addSavedGameManagement/:typeId/:type,GameController,addSavedGameManagement,MANGLER,Saved-game templates missing
3-GAMEPLAY,GET,/savedGameManagementEdit/:typeId/:id,GameController,editSaveGameManagement,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/savedGameManagementEdit/:typeId/:id,GameController,editSaveGameManagementPostData,MANGLER,Game admin CRUD missing
3-GAMEPLAY,GET,/viewSaveGameManagement/:id,GameController,viewSaveGameManagementDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/getSaveGameDelete,GameController,getSaveGameManagementDelete,MANGLER,Game/ticket admin delete missing
6-ADMIN-OPS,GET,/reportGame1,ReportsController,reportGame1,TODO,
6-ADMIN-OPS,GET,/reportGame1/getReportGame1,ReportsController,getReportGame1,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
6-ADMIN-OPS,GET,/reportGame1/game1Subgames/:id,ReportsController,reportGame1SubGames,TODO,
6-ADMIN-OPS,GET,/reportGame1/getGame1Subgames,ReportsController,getGame1Subgames,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
6-ADMIN-OPS,GET,/reportGame2,ReportsController,reportGame2,TODO,
6-ADMIN-OPS,GET,/reportGame2/getReportGame2,ReportsController,getReportGame2,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
6-ADMIN-OPS,GET,/reportGame3,ReportsController,reportGame3,TODO,
6-ADMIN-OPS,GET,/reportGame3/getReportGame3,ReportsController,getReportGame3,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
6-ADMIN-OPS,GET,/reportGame4,ReportsController,reportGame4,TODO,
6-ADMIN-OPS,GET,/reportGame4/getReportGame4,ReportsController,getReportGame4,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
6-ADMIN-OPS,GET,/uniqueGameReport,ReportsController,uniqueIdReport,TODO,
6-ADMIN-OPS,GET,/reportUnique/uniqueGameTicketReport,ReportsController,uniqueGameTicketReport,TODO,
6-ADMIN-OPS,GET,/physicalTicketReport,ReportsController,physicalTicketReport,TODO,
6-ADMIN-OPS,GET,/reportPhysical/physicalTicketReport,ReportsController,physicalGameTicketReport,TODO,
6-ADMIN-OPS,GET,/hallSpecificReport,ReportsController,hallSpecificReportPage,TODO,
6-ADMIN-OPS,GET,/getHallReports,ReportsController,getHallSpecificReport,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
6-ADMIN-OPS,GET,/getHallOrderReports,ReportsController,getHallSpecificOrderReport,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
6-ADMIN-OPS,GET,/reportGame5,ReportsController,reportGame5,TODO,
6-ADMIN-OPS,GET,/reportGame5/getReportGame5,ReportsController,getReportGame5,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
6-ADMIN-OPS,GET,/totalRevenueReport,ReportsController,totalRevenueReport,TODO,
6-ADMIN-OPS,GET,/totalRevenueReport/getData,ReportsController,getTotalRevenueReport,MANGLER,Report data endpoint — needs port to /api/admin/reports/*
5-WALLET,GET,/payoutPlayer,payoutController,viweGameManagementPayoutPlayer,TODO,
5-WALLET,GET,/PayoutGameManagementDetailListPlayer/:id,payoutController,PayoutGameManagementDetailListPlayer,TODO,
5-WALLET,GET,/payoutPlayerGetGameManagementDetailList,payoutController,payoutPlayerGetGameManagementDetailList,MANGLER,Payout per-player/per-ticket views missing
5-WALLET,GET,/viewPlayerPayout/:id/:gameId/:type,payoutController,viewPlayerPayout,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,GET,/payoutTickets,payoutController,viweGameManagementPayoutTickets,TODO,
5-WALLET,GET,/PayoutGameManagementDetailListTickets/:id,payoutController,PayoutGameManagementDetailListTickets,TODO,
5-WALLET,GET,/payoutTicketsGetGameManagementDetailList,payoutController,payoutTicketsGetGameManagementDetailList,MANGLER,Payout per-player/per-ticket views missing
5-WALLET,GET,/viewTicketPayout/:gameId/:type,payoutController,viewTicketPayout,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
6-ADMIN-OPS,GET,/riskCountry,riskCountryController,riskCountry,NOT-NEEDED,HTML index page
6-ADMIN-OPS,GET,/getRiskCountry,riskCountryController,getRiskCountry,TODO,
6-ADMIN-OPS,GET,/getCountryList,riskCountryController,getCountryList,TODO,
6-ADMIN-OPS,POST,/addRiskCountry,riskCountryController,addRiskCountry,MANGLER,Risk country admin missing
6-ADMIN-OPS,POST,/deleteRiskCountry,riskCountryController,deleteRiskCountry,MANGLER,Risk country admin missing
6-ADMIN-OPS,GET,/redFlagCategory,redFlagCategoryController,redFlagCategory,NOT-NEEDED,HTML index page
6-ADMIN-OPS,GET,/getRedFlagCategory/:id,redFlagCategoryController,getRedFlagCategory,MANGLER,Red-flag AML admin missing
6-ADMIN-OPS,GET,/getPlayersRedFlagList,redFlagCategoryController,getPlayersRedFlagList,MANGLER,Red-flag AML admin missing
6-ADMIN-OPS,GET,/viewUserTransaction,redFlagCategoryController,viewUserTransaction,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
6-ADMIN-OPS,GET,/getUserTransactionHeader/:id,redFlagCategoryController,getUserTransactionHeader,MANGLER,Red-flag AML admin missing
6-ADMIN-OPS,GET,/getUserTransactionList,redFlagCategoryController,getUserTransactionList,MANGLER,Red-flag AML admin missing
5-WALLET,GET,/transactions,transactionController,depositTransaction,TODO,
5-WALLET,GET,/getTransactions,transactionController,getDepositTransaction,MANGLER,Deposit request/history queue missing
5-WALLET,GET,/deposit/requests,transactionController,depositRequsests,TODO,
5-WALLET,GET,/deposit/requests/get,transactionController,getDepositRequests,MANGLER,Deposit request/history queue missing
5-WALLET,POST,/deposit/requests/accept,transactionController,acceptDepositRequest,MANGLER,Deposit request approve/reject queue missing (PILOT-CRITICAL)
5-WALLET,POST,/deposit/requests/reject,transactionController,rejectDepositRequest,MANGLER,Deposit request approve/reject queue missing (PILOT-CRITICAL)
5-WALLET,GET,/deposit/history,transactionController,depositHistory,TODO,
5-WALLET,GET,/deposit/history/get,transactionController,getDepositHistory,MANGLER,Deposit request/history queue missing
3-GAMEPLAY,GET,/wheelOfFortune,otherGameController,wheelOfFortune,TODO,
3-GAMEPLAY,POST,/editWheelOfFortune,otherGameController,editWheelOfFortune,MANGLER,"Minigame config missing (WoF, Treasure, Mystery, ColorDraft)"
3-GAMEPLAY,GET,/treasureChest,otherGameController,treasureChest,TODO,
3-GAMEPLAY,POST,/treasureChestEdit,otherGameController,editTreasureChestPostData,MANGLER,"Minigame config missing (WoF, Treasure, Mystery, ColorDraft)"
3-GAMEPLAY,GET,/mystery,otherGameController,mystery,TODO,
3-GAMEPLAY,POST,/mysteryEdit,otherGameController,editMysteryPostData,MANGLER,"Minigame config missing (WoF, Treasure, Mystery, ColorDraft)"
1-AUTH,GET,/user,UserController,users,NOT-NEEDED,HTML index page
1-AUTH,GET,/user/getUser,UserController,getUser,TODO,
1-AUTH,GET,/addUser,UserController,addUser,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/addUser,UserController,addUserPostData,MANGLER,Admin-user CRUD missing (partial via /api/admin/bootstrap)
1-AUTH,POST,/user/getUserDelete,UserController,getUserDelete,MANGLER,Admin-user CRUD missing (partial via /api/admin/bootstrap)
1-AUTH,GET,/userEdit/:id/,UserController,editUser,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/userEdit/:id,UserController,editUserPostData,MANGLER,Admin-user CRUD missing (partial via /api/admin/bootstrap)
3-GAMEPLAY,GET,/cms,cmsController,cmsView,NOT-NEEDED,HTML index page
3-GAMEPLAY,GET,/faq,cmsController,faqView,TODO,
3-GAMEPLAY,GET,/getFAQ,cmsController,getFAQ,MANGLER,"CMS (FAQ, ToS, etc.) not ported — may not be needed"
3-GAMEPLAY,GET,/addFAQ,cmsController,addFAQ,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/addFAQ,cmsController,addFAQPostData,NOT-NEEDED,"CMS content edit — post-pilot, may be handled via Notion"
3-GAMEPLAY,GET,/faqEdit/:id,cmsController,editFAQ,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/faqEdit/:id,cmsController,editFAQPostData,NOT-NEEDED,"CMS content edit — post-pilot, may be handled via Notion"
3-GAMEPLAY,POST,/faq/getFAQDelete,cmsController,getFAQDelete,NOT-NEEDED,"CMS content edit — post-pilot, may be handled via Notion"
3-GAMEPLAY,GET,/TermsofService,cmsController,TermsofServiceView,TODO,
3-GAMEPLAY,POST,/termEdit,cmsController,editTermPostData,NOT-NEEDED,"CMS content edit — post-pilot, may be handled via Notion"
3-GAMEPLAY,GET,/terms-of-service,cmsController,termsofService,TODO,
3-GAMEPLAY,GET,/Support,cmsController,SupportView,TODO,
3-GAMEPLAY,POST,/supportEdit,cmsController,editSupportPostData,NOT-NEEDED,"CMS content edit — post-pilot, may be handled via Notion"
3-GAMEPLAY,GET,/Aboutus,cmsController,AboutusView,TODO,
3-GAMEPLAY,POST,/aboutusEdit,cmsController,editAboutPostData,NOT-NEEDED,"CMS content edit — post-pilot, may be handled via Notion"
3-GAMEPLAY,GET,/ResponsibleGameing,cmsController,ResponsibleGameingView,TODO,
3-GAMEPLAY,POST,/resposibleGameingEdit,cmsController,editResposibleGameingPostData,NOT-NEEDED,"CMS content edit — post-pilot, may be handled via Notion"
3-GAMEPLAY,GET,/LinksofOtherAgencies,cmsController,LinksofOtherAgenciesView,TODO,
3-GAMEPLAY,POST,/linksOfOtherAgenciesEdit,cmsController,editLinksofOtherAgenciesPostData,NOT-NEEDED,"CMS content edit — post-pilot, may be handled via Notion"
4-HALL,GET,/hall,hallController,hallView,NOT-NEEDED,HTML index page
4-HALL,GET,/hallAccountReport,hallController,hallAccountReportsView,TODO,
4-HALL,GET,/hallAccountReportTable/:id,hallController,hallAccountReportTableView,TODO,
4-HALL,GET,/getHallAccountReport,hallController,gethallAccountReportData,MANGLER,Hall settlement/account report missing
4-HALL,GET,/getHall,hallController,getHall,EXISTS,/api/admin/halls covers base
4-HALL,GET,/addHall,hallController,addHall,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/addHall,hallController,addHallPostData,EXISTS,/api/admin/halls CRUD covers
4-HALL,GET,/hallEdit/:id,hallController,editHall,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/hallEdit/:id,hallController,editHallPostData,EXISTS,/api/admin/halls CRUD covers
4-HALL,POST,/hall/getHallDelete,hallController,getHallDelete,EXISTS,/api/admin/halls CRUD covers
4-HALL,POST,/transferPlayersToHall,hallController,transferPlayersToHall,MANGLER,Transfer-players-to-hall missing
4-HALL,GET,/getHalls,hallController,getAllHalls,EXISTS,/api/admin/halls covers base
4-HALL,POST,/hall/report/saveData,hallController,saveHallReportData,MANGLER,Hall cash balance + report save missing
4-HALL,POST,/hall/set-cash-amount,hallController,setHallCashBalance,TODO,Review hall action
4-HALL,POST,/hall/check-hall-number,hallController,checkHallNumber,MANGLER,Hall validation helpers missing
4-HALL,POST,/hall/check-ip-address,hallController,checkIpAddress,MANGLER,Hall validation helpers missing
4-HALL,GET,/groupHall,groupHallController,groupHallView,NOT-NEEDED,HTML index page
4-HALL,GET,/getGroupHall,groupHallController,getGroupHall,MANGLER,Group-hall concept not in new backend
4-HALL,GET,/addGroupHall,groupHallController,addGroupHall,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/addGroupHall,groupHallController,addGroupHallPostData,MANGLER,Group-hall concept not in new backend
4-HALL,GET,/groupHallEdit/:id,groupHallController,editGroupHall,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/groupHallEdit/:id,groupHallController,editGroupHallPostData,MANGLER,Group-hall concept not in new backend
4-HALL,POST,/groupHallEdit/:id,groupHallController,editGroupHallPostData,MANGLER,Group-hall concept not in new backend
4-HALL,GET,/groupHallView/:id,groupHallController,groupHallDataView,TODO,
4-HALL,POST,/groupHall/getGroupHallDelete,groupHallController,getGroupHallDelete,MANGLER,Group-hall concept not in new backend
4-HALL,GET,/removedGroup,groupHallController,removedGroup,TODO,
4-HALL,GET,/getAvailableGroupHalls/:type,groupHallController,getAvailableGroupHalls,MANGLER,Group-hall concept not in new backend
4-HALL,GET,/getAllGroupHalls/,groupHallController,getGroupHallData,MANGLER,Group-hall concept not in new backend
6-ADMIN-OPS,GET,/productList,productManagement,productListPage,TODO,
6-ADMIN-OPS,GET,/products/getProducts,productManagement,getProducts,NOT-NEEDED,Shop/product mgmt out of scope for bingo MVP
6-ADMIN-OPS,GET,/getProduct/:id,productManagement,getProduct,NOT-NEEDED,Shop/product mgmt out of scope for bingo MVP
6-ADMIN-OPS,POST,/addProduct,productManagement,addProduct,NOT-NEEDED,Shop/product — out of scope
6-ADMIN-OPS,POST,/editProduct,productManagement,editProduct,NOT-NEEDED,Shop/product — out of scope
6-ADMIN-OPS,POST,/deleteProduct,productManagement,deleteProduct,NOT-NEEDED,Shop/product — out of scope
6-ADMIN-OPS,GET,/getCategories,productManagement,getCategories,NOT-NEEDED,Shop/product mgmt out of scope for bingo MVP
6-ADMIN-OPS,GET,/categoryList,productManagement,categoryListPage,TODO,
6-ADMIN-OPS,GET,/categoryTable,productManagement,categoryDataTable,TODO,
6-ADMIN-OPS,POST,/addCategory,productManagement,addCategory,NOT-NEEDED,Shop/product — out of scope
6-ADMIN-OPS,POST,/editCategory,productManagement,editCategory,NOT-NEEDED,Shop/product — out of scope
6-ADMIN-OPS,POST,/deleteCategory,productManagement,deleteCategory,NOT-NEEDED,Shop/product — out of scope
